Indicateurs statistiques 2013 sur les circonscriptions législatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population P2013 (exploitations principale et complémentaire)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Insee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nd : non déterminé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifiant DEPCIR (numéro de département suivi du numéro de circonscritption),Intitulé de DEPCIR,Population,Population 0-2 ans,Population 3-5 ans,Population 6-10 ans,Population 11-17 ans,Population 18-24 ans,Population 25-39 ans,Population 40-54 ans,Population 55-64 ans,Population 65-79 ans,Population 80 ans et plus,Population 0-19 ans,Population 20-64 ans,Population 65 ans et plus,Population Hommes,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans et plus,Population Femmes,Population Femmes 0-19 ans,Population Femmes 20-64 ans,Population Femmes 65 ans et plus,Population française,Population étrangère,Population 15 ans ou plus,Population 15 ans ou plus Agriculteurs exploitants,"Population 15 ans ou plus Artisans, Comm., Chefs entr.","Population 15 ans ou plus Cadres, Prof. intel. sup.",Population 15 ans ou plus Prof. intermédiaires ,Population 15 ans ou plus Employés,Population 15 ans ou plus Ouvriers,Population 15 ans ou plus Retraités ,Population 15 ans ou plus Autres,Population Hommes15 ans ou plus,Population Hommes 15 ans ou plus Agriculteurs exploitants,"Population Hommes15 ans ou plus Artisans, Comm., Chefs entr.","Population Hommes 15 ans ou plus Cadres, Prof. intel. sup.",Population Hommes 15 ans ou plus Prof. intermédiaires ,Population Hommes15 ans ou plus Employés,Population Hommes 15 ans ou plus Ouvriers,Population Hommes 15 ans ou plus Retraités ,Population Hommes 15 ans ou plus Autres,Population Femmes15 ans ou plus,Population Femmes 15 ans ou plus Agriculteurs exploitants,"Population Femmes15 ans ou plus Artisans, Comm., Chefs entr.","Population Femmes 15 ans ou plus Cadres, Prof. intel. sup.",Population Femmes 15 ans ou plus Prof. intermédiaires ,Population Femmes 15 ans ou plus Employés,Population Femmes 15 ans ou plus Ouvriers,Population Femmes 15 ans ou plus Retraités ,Population Femmes 15 ans ou plus Autres,Résidences principales,Population Ménages : Nombre de personnes des ménages,Population ménages : nombre de personnes dans les ménages avec famille(s),Population ménages : Nombre de ménages d'une Personne seule
DEPCIR,DEPCIR INTITULE,P13 pop,P13 pop0002,P13 pop0305,P13 pop0610,P13 pop1117,P13 pop1824,P13 pop2539,P13 pop4054,P13 pop5564,P13 pop6579,P13 pop80p,P13 pop0019,P13 pop2064,P13 pop65P,P13 poph,P13 h0019,P13 h2064,P13 h65p,P13 popf,P13 f0019,P13 f2064,P13 f65p,P13 pop fr,P13 pop etr,P13 Pop15P,C13 Pop15P cs1,C13 Pop15P cs2,C13 Pop15P cs3,C13 Pop15P cs4,C13 Pop15P cs5,C13 Pop15P cs6,C13 Pop15P cs7,C13 Pop15P cs8,C13 H15P,C13 H15P cs1,C13 H15P cs2,C13 H15P cs3,C13 H15P cs4,C13 H15P cs5,C13 H15P cs6,C13 H15P cs7,C13 H15P cs8,C13 F15P,C13 F15P cs1,C13 F15P cs2,C13 F15P cs3,C13 F15P cs4,C13 F15P cs5,C13 F15P cs6,C13 F15P cs7,C13 F15P cs8,P13 rp,C13 pmen,C13 pmen menfam,C13 pmen menseul
0101,Ain  - 1re circonscription,115683,2874,4429,7559,10511,8473,19970,24006,14895,15078,7887,28042,64676,22965,56845,14396,32563,9885,58838,13645,32113,13080,111719,3964,94717,991,3185,5739,14191,15207,14978,27545,12881,45940,795,2313,3423,6776,3049,12069,12326,5190,48777,197,872,2316,7414,12157,2909,15219,7692,49795,112841,93973,16784
0102,Ain  - 2e circonscription,129760,3326,5274,9193,13045,10288,23323,29698,16021,13770,5822,34215,75952,19592,64451,17435,38306,8710,65309,16780,37646,10882,124656,5104,104565,530,4458,10812,18756,16548,14369,23482,15610,51557,412,3371,6928,9480,3331,11198,10918,5919,53008,118,1086,3884,9276,13217,3172,12564,9691,49833,126195,111948,12264
0103,Ain  - 3e circonscription,131843,3829,5895,9650,12389,8184,28579,30029,14565,13224,5499,34515,78605,18723,64866,17508,39044,8315,66977,17008,39561,10409,104772,27071,105438,367,3548,13714,17385,19110,13452,20843,17019,51206,294,2502,9134,8055,4972,10956,9468,5825,54232,72,1046,4581,9330,14138,2496,11375,11194,55531,129769,108977,17972
0104,Ain  - 4e circonscription,126379,3093,4744,8663,12541,9392,21763,27774,16022,15045,7343,32119,71872,22389,62723,16555,36162,10007,63656,15564,35710,12382,123290,3089,102948,1207,4262,6615,15758,16877,17137,27066,14026,51033,973,3137,4243,7643,2709,13728,12481,6120,51914,233,1125,2372,8116,14168,3409,14585,7907,51484,122974,106337,14690
0105,Ain  - 5e circonscription,115832,3101,4760,8178,10608,7990,20959,24866,14863,13766,6743,29246,66077,20509,57395,14895,33360,9140,58437,14352,32717,11369,104604,11228,93444,605,3491,5172,12618,13681,19287,24600,13988,46037,486,2634,3187,6414,2650,13961,11654,5050,47407,119,857,1985,6204,11031,5327,12946,8938,48553,113194,95537,15472
0201,Aisne - 1re circonscription,105282,2769,4044,7098,9574,7963,19210,21610,14260,12332,6422,25890,60638,18754,51539,13293,30410,7835,53743,12597,30228,10919,103413,1869,86130,931,2297,4096,10430,15500,14342,22968,15567,41549,780,1586,2474,5008,3839,11761,10326,5774,44581,151,711,1623,5422,11661,2580,12641,9793,44169,102292,85981,13978
0202,Aisne - 2e circonscription,108259,2695,4150,6919,9948,8883,19034,21203,14647,14002,6779,26463,61015,20781,52018,13715,29842,8460,56241,12748,31173,12320,104913,3346,88892,394,2217,4413,10623,14573,14381,25395,16896,41688,320,1550,2710,5112,3324,11540,10897,6234,47204,73,667,1703,5510,11249,2841,14498,10662,47015,106329,88246,15802
0203,Aisne - 3e circonscription,96414,2437,3827,6356,9129,6969,16144,19137,13347,12445,6624,23969,53376,19068,47034,12182,26923,7929,49380,11788,26453,11139,95280,1134,78968,1689,2304,2088,6691,11599,15134,23298,16165,38218,1286,1518,1182,3177,2347,12487,10511,5711,40749,403,786,906,3514,9253,2647,12787,10454,40226,94915,80621,12343
0204,Aisne - 4e circonscription,113905,2785,4053,7122,10243,9105,19288,22980,15945,14789,7594,26995,64528,22383,54835,13753,31816,9266,59070,13242,32711,13117,109825,4080,93867,328,2431,3935,11140,15568,15832,26821,17812,44603,254,1659,2429,5328,3495,12977,12250,6211,49264,74,773,1506,5812,12073,2855,14570,11601,49548,111906,93181,16534
